Zone,LocationID,Latitude,Longitude
Newark Airport,1,40.69183121,-74.17400027
Jamaica Bay,2,40.61674529,-73.83129854
Allerton/Pelham Gardens,3,40.86447368,-73.84742223
Alphabet City,4,40.72375214,-73.97696826
Arden Heights,5,40.55265929,-74.1884841
Arrochar/Fort Wadsworth,6,40.60032415,-74.07177056
Astoria,7,40.76149256,-73.91969432
Astoria Park,8,40.77855865,-73.92308616
Auburndale,9,40.75103503,-73.78794888
Baisley Park,10,40.67895331,-73.79098636
Bath Beach,11,40.60427284,-74.00748816
Battery Park,12,40.70294583,-74.01556351
Battery Park City,13,40.71203816,-74.01607915
Bay Ridge,14,40.62483492,-74.02989237
Bay Terrace/Fort Totten,15,40.78333305,-73.78597228
Bayside,16,40.76273838,-73.77342182
Bedford,17,40.69150749,-73.94990504
Bedford Park,18,40.86768246,-73.89018329
Bellerose,19,40.73548678,-73.72665538
Belmont,20,40.85777968,-73.88586748
Bensonhurst East,21,40.60142944,-73.9835371
Bensonhurst West,22,40.61221826,-73.99525858
Bloomfield/Emerson Hill,23,40.6064477,-74.17088688
Bloomingdale,24,40.80197049,-73.96547952
Boerum Hill,25,40.68563374,-73.98611382
Borough Park,26,40.63094966,-73.98866123
Breezy Point/Fort Tilden/Riis Beach,27,40.55913328,-73.90690832
Briarwood/Jamaica Hills,28,40.71159636,-73.80872902
Brighton Beach,29,40.58092197,-73.96121677
Broad Channel,30,40.60368744,-73.82192696
Bronx Park,31,40.85774668,-73.87547595
Bronxdale,32,40.86400221,-73.864901
Brooklyn Heights,33,40.69579822,-73.99525012
Brooklyn Navy Yard,34,40.70085574,-73.97118869
Brownsville,35,40.66400312,-73.91025783
Bushwick North,36,40.7005222,-73.91771053
Bushwick South,37,40.69499432,-73.92224002
Cambria Heights,38,40.69434147,-73.73555427
Canarsie,39,40.63803714,-73.89973496
Carroll Gardens,40,40.67919901,-73.99595619
Central Harlem,41,40.80433395,-73.951292
Central Harlem North,42,40.81825786,-73.94077167
Central Park,43,40.7824781,-73.96555357
Charleston/Tottenville,44,40.52549458,-74.23353355
Chinatown,45,40.71245931,-73.9981515
City Island,46,40.84908594,-73.78198715
Claremont/Bathgate,47,40.84274918,-73.90031591
Clinton East,48,40.76225276,-73.98984464
Clinton Hill,49,40.68796746,-73.96236354
Clinton West,50,40.76623773,-73.99513522
Co-Op City,51,40.87397305,-73.82826367
Cobble Hill,52,40.68665124,-73.99672403
College Point,53,40.78091236,-73.8428135
Columbia Street,54,40.68720075,-74.00291128
Coney Island,55,40.57696075,-73.98794343
Corona,56,40.74140677,-73.85884525
Corona,56,40.75181937,-73.85358156
Country Club,58,40.8414521,-73.82039319
Crotona Park,59,40.83855029,-73.89498588
Crotona Park East,60,40.83399048,-73.88590003
Crown Heights North,61,40.67446942,-73.93928706
Crown Heights South,62,40.66654041,-73.94878854
Cypress Hills,63,40.68383976,-73.87817261
Douglaston,64,40.76061561,-73.73933715
Downtown Brooklyn/MetroTech,65,40.69533753,-73.986086
DUMBO/Vinegar Hill,66,40.70225894,-73.98570162
Dyker Heights,67,40.61961947,-74.01380149
East Chelsea,68,40.74842756,-73.99991742
East Concourse/Concourse Village,69,40.8314167,-73.9150293
East Elmhurst,70,40.7633522,-73.8683956
East Flatbush/Farragut,71,40.64428817,-73.93796627
East Flatbush/Remsen Village,72,40.6523648,-73.92225097
East Flushing,73,40.75410889,-73.80729418
East Harlem North,74,40.80116948,-73.93734561
East Harlem South,75,40.79001075,-73.94575027
